======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-22 07:22:59
Log file: logs/simulation_20260222_072259.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 2.8868 (rescaled)
  dt/dt_CFL = 3.4641e-02 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7400.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7400.0...
  V'(0) = 1.6066e-06
  V'(VEV) = 7.2925e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6066e-06
  V'(1e0)   = 1.6066e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.1539e+03
  Escape point: 2.3693e+03
  V'(escape) = -8.3211e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/64x64x64_T0_7400_dx_0.005_dtphys_0.0001_interval_10000_3D_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/64x64x64_T0_7400_dx_0.005_dtphys_0.0001_interval_10000_3D_hubble_eta_0.3/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 64×64×64, Steps: 1000000000, dt: 1.00e-01
Integrator: RK2 (4 passes/step)
  Single-pass fused: True
  Fused RK2: True
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 5.9599e-05)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/1000000000 | t=0.00e+00 | T=7400.0 | a=1.000000 | H=2.41e-05 | 9.2 steps/s | 108.85 ms/step | ETA: 1814103.1 min
Step 10000/1000000000 | t=1.00e+00 | T=7399.8 | a=1.000024 | H=2.41e-05 | 549.5 steps/s | 1.82 ms/step | ETA: 30328.8 min
Step 20000/1000000000 | t=2.00e+00 | T=7399.6 | a=1.000048 | H=2.41e-05 | 566.8 steps/s | 1.76 ms/step | ETA: 29406.6 min
Step 30000/1000000000 | t=3.00e+00 | T=7399.5 | a=1.000072 | H=2.41e-05 | 561.8 steps/s | 1.78 ms/step | ETA: 29665.7 min
Step 40000/1000000000 | t=4.00e+00 | T=7399.3 | a=1.000096 | H=2.41e-05 | 564.4 steps/s | 1.77 ms/step | ETA: 29531.1 min
Step 50000/1000000000 | t=5.00e+00 | T=7399.1 | a=1.000120 | H=2.41e-05 | 567.3 steps/s | 1.76 ms/step | ETA: 29378.9 min
Step 60000/1000000000 | t=6.00e+00 | T=7398.9 | a=1.000144 | H=2.41e-05 | 569.1 steps/s | 1.76 ms/step | ETA: 29284.0 min
Step 70000/1000000000 | t=7.00e+00 | T=7398.8 | a=1.000168 | H=2.41e-05 | 571.9 steps/s | 1.75 ms/step | ETA: 29140.1 min
Step 80000/1000000000 | t=8.00e+00 | T=7398.6 | a=1.000192 | H=2.41e-05 | 571.7 steps/s | 1.75 ms/step | ETA: 29150.8 min
Step 90000/1000000000 | t=9.00e+00 | T=7398.4 | a=1.000217 | H=2.41e-05 | 573.1 steps/s | 1.74 ms/step | ETA: 29080.4 min
Step 100000/1000000000 | t=1.00e+01 | T=7398.2 | a=1.000241 | H=2.41e-05 | 573.5 steps/s | 1.74 ms/step | ETA: 29060.0 min
Step 110000/1000000000 | t=1.10e+01 | T=7398.0 | a=1.000265 | H=2.41e-05 | 573.7 steps/s | 1.74 ms/step | ETA: 29050.3 min
Step 120000/1000000000 | t=1.20e+01 | T=7397.9 | a=1.000289 | H=2.41e-05 | 573.7 steps/s | 1.74 ms/step | ETA: 29048.6 min
Step 130000/1000000000 | t=1.30e+01 | T=7397.7 | a=1.000313 | H=2.41e-05 | 573.2 steps/s | 1.74 ms/step | ETA: 29071.5 min
Step 140000/1000000000 | t=1.40e+01 | T=7397.5 | a=1.000337 | H=2.41e-05 | 573.6 steps/s | 1.74 ms/step | ETA: 29053.8 min
Step 150000/1000000000 | t=1.50e+01 | T=7397.3 | a=1.000361 | H=2.41e-05 | 573.8 steps/s | 1.74 ms/step | ETA: 29042.3 min
Step 160000/1000000000 | t=1.60e+01 | T=7397.2 | a=1.000385 | H=2.41e-05 | 573.4 steps/s | 1.74 ms/step | ETA: 29060.4 min
Step 170000/1000000000 | t=1.70e+01 | T=7397.0 | a=1.000409 | H=2.41e-05 | 573.7 steps/s | 1.74 ms/step | ETA: 29046.3 min
